detail_id,order_id,item_id,quantity,unit_price,subtotal,notes
DTL00108,ORD00064,ITEM045,2,36000,72000,
DTL00109,ORD00065,ITEM055,1,52000,52000,extra shot
DTL00110,ORD00066,ITEM010,3,35000,105000,
DTL00111,ORD00066,ITEM018,1,29000,29000,
DTL00112,ORD00067,ITEM076,1,28000,28000,
DTL00113,ORD00067,ITEM024,2,27000,54000,
DTL00114,ORD00068,ITEM012,1,51000,51000,
DTL00115,ORD00068,ITEM074,1,27000,27000,
DTL00116,ORD00069,ITEM032,1,27000,27000,
DTL00117,ORD00070,ITEM010,1,35000,35000,
DTL00118,ORD00071,ITEM052,1,56000,56000,
DTL00119,ORD00071,ITEM059,1,73000,73000,
DTL00120,ORD00072,ITEM061,2,59000,118000,ekstra creamer
DTL00121,ORD00072,ITEM037,1,27000,27000,
DTL00122,ORD00072,ITEM025,1,41000,41000,
DTL00123,ORD00073,ITEM043,1,27000,27000,gula sedikit
DTL00124,ORD00074,ITEM054,1,65000,65000,
DTL00125,ORD00074,ITEM006,1,50000,50000,
DTL00126,ORD00075,ITEM013,1,40000,40000,
DTL00127,ORD00076,ITEM005,1,28000,28000,
DTL00128,ORD00077,ITEM045,1,36000,36000,
DTL00129,ORD00078,ITEM061,1,59000,59000,
DTL00130,ORD00078,ITEM046,1,29000,29000,
DTL00131,ORD00079,ITEM056,1,51000,51000,
DTL00132,ORD00080,ITEM032,1,27000,27000,
DTL00133,ORD00081,ITEM028,1,27000,27000,
DTL00134,ORD00082,ITEM034,1,30000,30000,
DTL00135,ORD00082,ITEM045,1,36000,36000,
DTL00136,ORD00083,ITEM058,2,52000,104000,extra shot
DTL00137,ORD00084,ITEM033,2,39000,78000,
DTL00138,ORD00084,ITEM031,1,21000,21000,
DTL00139,ORD00085,ITEM007,1,24000,24000,
DTL00140,ORD00085,ITEM013,1,40000,40000,
DTL00141,ORD00086,ITEM043,1,27000,27000,
DTL00142,ORD00086,ITEM049,1,28000,28000,
DTL00143,ORD00087,ITEM005,1,28000,28000,
DTL00144,ORD00087,ITEM058,2,52000,104000,
DTL00145,ORD00087,ITEM073,1,22000,22000,
DTL00146,ORD00088,ITEM030,2,27000,54000,
DTL00147,ORD00089,ITEM028,2,27000,54000,
DTL00148,ORD00089,ITEM059,1,73000,73000,
DTL00149,ORD00090,ITEM050,1,27000,27000,
DTL00150,ORD00090,ITEM045,1,36000,36000,
DTL00151,ORD00091,ITEM046,1,29000,29000,
DTL00152,ORD00091,ITEM017,3,36000,108000,
DTL00153,ORD00091,ITEM044,1,39000,39000,tanpa gula
DTL00154,ORD00092,ITEM011,1,49000,49000,
DTL00155,ORD00092,ITEM077,2,23000,46000,
DTL00156,ORD00092,ITEM066,2,45000,90000,panas
DTL00157,ORD00093,ITEM075,1,29000,29000,
DTL00158,ORD00094,ITEM058,2,52000,104000,
DTL00159,ORD00094,ITEM038,1,39000,39000,
DTL00160,ORD00095,ITEM029,1,37000,37000,
DTL00161,ORD00096,ITEM080,1,34000,34000,
DTL00162,ORD00096,ITEM019,1,47000,47000,
DTL00163,ORD00097,ITEM056,2,51000,102000,
DTL00164,ORD00098,ITEM003,1,37000,37000,
DTL00165,ORD00098,ITEM036,1,25000,25000,
DTL00166,ORD00099,ITEM044,1,39000,39000,tanpa susu
DTL00167,ORD00100,ITEM076,1,28000,28000,
DTL00168,ORD00100,ITEM034,1,30000,30000,
DTL00169,ORD00100,ITEM060,1,73000,73000,
DTL00170,ORD00100,ITEM045,1,36000,36000,
DTL00171,ORD00101,ITEM078,1,18000,18000,
DTL00172,ORD00102,ITEM019,1,47000,47000,
DTL00173,ORD00102,ITEM057,1,72000,72000,tanpa gula
DTL00174,ORD00103,ITEM010,2,35000,70000,
DTL00175,ORD00103,ITEM030,1,27000,27000,
DTL00176,ORD00104,ITEM071,1,26000,26000,
DTL00177,ORD00104,ITEM037,1,27000,27000,
DTL00178,ORD00105,ITEM073,1,22000,22000,
DTL00179,ORD00106,ITEM061,1,59000,59000,
DTL00180,ORD00107,ITEM072,3,18000,54000,
DTL00181,ORD00108,ITEM080,3,34000,102000,tambah whip cream
DTL00182,ORD00109,ITEM024,1,27000,27000,
DTL00183,ORD00110,ITEM002,1,40000,40000,
DTL00184,ORD00110,ITEM003,3,37000,111000,
DTL00185,ORD00111,ITEM053,1,68000,68000,
DTL00186,ORD00112,ITEM005,1,28000,28000,
DTL00187,ORD00112,ITEM012,1,51000,51000,
DTL00188,ORD00113,ITEM006,2,50000,100000,
DTL00189,ORD00113,ITEM035,1,30000,30000,
DTL00190,ORD00113,ITEM033,2,39000,78000,
DTL00191,ORD00114,ITEM058,1,52000,52000,
DTL00192,ORD00114,ITEM010,1,35000,35000,
DTL00193,ORD00115,ITEM052,1,56000,56000,
DTL00194,ORD00115,ITEM007,1,24000,24000,
DTL00195,ORD00116,ITEM056,1,51000,51000,
DTL00196,ORD00117,ITEM056,1,51000,51000,
DTL00197,ORD00118,ITEM012,1,51000,51000,
DTL00198,ORD00119,ITEM057,1,72000,72000,
DTL00199,ORD00119,ITEM002,1,40000,40000,panas
DTL00200,ORD00120,ITEM063,1,67000,67000,
DTL00201,ORD00121,ITEM015,1,50000,50000,
DTL00202,ORD00122,ITEM019,1,47000,47000,
DTL00203,ORD00123,ITEM037,1,27000,27000,
DTL00204,ORD00124,ITEM068,2,39000,78000,
DTL00205,ORD00125,ITEM045,1,36000,36000,
DTL00206,ORD00126,ITEM061,1,59000,59000,
DTL00207,ORD00126,ITEM080,2,34000,68000,
DTL00208,ORD00126,ITEM005,1,28000,28000,
DTL00209,ORD00127,ITEM059,3,73000,219000,
DTL00210,ORD00127,ITEM050,1,27000,27000,
DTL00211,ORD00128,ITEM074,1,27000,27000,
DTL00212,ORD00128,ITEM024,1,27000,27000,
DTL00213,ORD00129,ITEM052,1,56000,56000,
DTL00214,ORD00130,ITEM027,1,35000,35000,
DTL00215,ORD00130,ITEM037,1,27000,27000,
DTL00216,ORD00131,ITEM031,1,21000,21000,
DTL00217,ORD00132,ITEM078,1,18000,18000,
DTL00218,ORD00132,ITEM029,1,37000,37000,
DTL00219,ORD00133,ITEM067,1,63000,63000,
DTL00220,ORD00134,ITEM055,1,52000,52000,
DTL00221,ORD00135,ITEM028,1,27000,27000,
DTL00222,ORD00135,ITEM027,1,35000,35000,
DTL00223,ORD00136,ITEM060,1,73000,73000,
DTL00224,ORD00136,ITEM072,1,18000,18000,
DTL00225,ORD00137,ITEM073,1,22000,22000,
DTL00226,ORD00137,ITEM075,1,29000,29000,
DTL00227,ORD00138,ITEM015,1,50000,50000,
DTL00228,ORD00138,ITEM037,2,27000,54000,
DTL00229,ORD00138,ITEM045,3,36000,108000,
DTL00230,ORD00138,ITEM005,1,28000,28000,
DTL00231,ORD00139,ITEM078,1,18000,18000,
DTL00232,ORD00139,ITEM042,3,33000,99000,
DTL00233,ORD00140,ITEM018,1,29000,29000,
DTL00234,ORD00140,ITEM037,1,27000,27000,
DTL00235,ORD00140,ITEM022,1,52000,52000,
DTL00236,ORD00141,ITEM042,1,33000,33000,less ice
DTL00237,ORD00142,ITEM053,1,68000,68000,
DTL00238,ORD00142,ITEM009,3,24000,72000,
DTL00239,ORD00143,ITEM007,1,24000,24000,
DTL00240,ORD00143,ITEM006,1,50000,50000,
DTL00241,ORD00144,ITEM042,1,33000,33000,
DTL00242,ORD00145,ITEM012,1,51000,51000,
DTL00243,ORD00146,ITEM062,1,44000,44000,
DTL00244,ORD00146,ITEM018,1,29000,29000,
DTL00245,ORD00147,ITEM022,1,52000,52000,
DTL00246,ORD00147,ITEM009,1,24000,24000,
DTL00247,ORD00148,ITEM019,1,47000,47000,
DTL00248,ORD00148,ITEM017,1,36000,36000,
DTL00249,ORD00148,ITEM057,1,72000,72000,
DTL00250,ORD00149,ITEM030,1,27000,27000,
DTL00251,ORD00149,ITEM058,2,52000,104000,less ice
DTL00252,ORD00150,ITEM018,1,29000,29000,
DTL00253,ORD00150,ITEM057,1,72000,72000,no ice
DTL00254,ORD00150,ITEM061,1,59000,59000,
DTL00255,ORD00151,ITEM061,1,59000,59000,
DTL00256,ORD00151,ITEM062,1,44000,44000,
DTL00257,ORD00152,ITEM009,1,24000,24000,
DTL00258,ORD00153,ITEM028,1,27000,27000,
DTL00259,ORD00154,ITEM041,1,26000,26000,
DTL00260,ORD00155,ITEM073,1,22000,22000,
DTL00261,ORD00155,ITEM067,2,63000,126000,
DTL00262,ORD00156,ITEM002,1,40000,40000,
DTL00263,ORD00156,ITEM037,1,27000,27000,less sugar
DTL00264,ORD00156,ITEM006,1,50000,50000,ekstra creamer
DTL00265,ORD00157,ITEM017,1,36000,36000,
DTL00266,ORD00157,ITEM074,1,27000,27000,
DTL00267,ORD00158,ITEM067,1,63000,63000,
DTL00268,ORD00159,ITEM080,1,34000,34000,less sugar
DTL00269,ORD00159,ITEM037,1,27000,27000,
DTL00270,ORD00160,ITEM077,3,23000,69000,
DTL00271,ORD00161,ITEM055,3,52000,156000,
DTL00272,ORD00161,ITEM067,1,63000,63000,
DTL00273,ORD00162,ITEM047,2,20000,40000,
DTL00274,ORD00163,ITEM015,1,50000,50000,
DTL00275,ORD00164,ITEM012,2,51000,102000,
DTL00276,ORD00164,ITEM025,1,41000,41000,
DTL00277,ORD00164,ITEM045,1,36000,36000,
DTL00278,ORD00165,ITEM066,1,45000,45000,
DTL00279,ORD00165,ITEM037,1,27000,27000,
DTL00280,ORD00165,ITEM013,2,40000,80000,extra shot
DTL00281,ORD00166,ITEM010,1,35000,35000,
DTL00282,ORD00166,ITEM003,2,37000,74000,
DTL00283,ORD00166,ITEM009,2,24000,48000,
DTL00284,ORD00167,ITEM056,1,51000,51000,
DTL00285,ORD00168,ITEM044,1,39000,39000,
DTL00286,ORD00168,ITEM073,1,22000,22000,
DTL00287,ORD00169,ITEM053,1,68000,68000,
DTL00288,ORD00169,ITEM071,1,26000,26000,
DTL00289,ORD00169,ITEM080,1,34000,34000,
DTL00290,ORD00169,ITEM072,1,18000,18000,
DTL00291,ORD00170,ITEM013,1,40000,40000,
DTL00292,ORD00170,ITEM037,1,27000,27000,
DTL00293,ORD00170,ITEM036,2,25000,50000,
DTL00294,ORD00170,ITEM041,3,26000,78000,
DTL00295,ORD00171,ITEM053,2,68000,136000,
DTL00296,ORD00172,ITEM003,1,37000,37000,
DTL00297,ORD00172,ITEM077,1,23000,23000,
DTL00298,ORD00173,ITEM077,3,23000,69000,
DTL00299,ORD00173,ITEM054,2,65000,130000,
DTL00300,ORD00174,ITEM028,1,27000,27000,
DTL00301,ORD00174,ITEM053,1,68000,68000,
DTL00302,ORD00175,ITEM047,2,20000,40000,panas
DTL00303,ORD00176,ITEM012,1,51000,51000,
DTL00304,ORD00176,ITEM050,1,27000,27000,
DTL00305,ORD00177,ITEM073,1,22000,22000,
DTL00306,ORD00177,ITEM056,1,51000,51000,gula sedikit
DTL00307,ORD00177,ITEM052,1,56000,56000,
DTL00308,ORD00178,ITEM027,2,35000,70000,
DTL00309,ORD00179,ITEM027,1,35000,35000,
DTL00310,ORD00180,ITEM043,1,27000,27000,
DTL00311,ORD00181,ITEM071,1,26000,26000,
DTL00312,ORD00182,ITEM040,1,24000,24000,
DTL00313,ORD00183,ITEM034,2,30000,60000,
DTL00314,ORD00184,ITEM057,1,72000,72000,
DTL00315,ORD00184,ITEM076,2,28000,56000,
DTL00316,ORD00185,ITEM076,1,28000,28000,
DTL00317,ORD00185,ITEM022,1,52000,52000,panas
DTL00318,ORD00186,ITEM040,2,24000,48000,no ice
DTL00319,ORD00186,ITEM047,1,20000,20000,
DTL00320,ORD00187,ITEM061,1,59000,59000,
DTL00321,ORD00188,ITEM072,1,18000,18000,
DTL00322,ORD00189,ITEM050,1,27000,27000,
DTL00323,ORD00190,ITEM013,1,40000,40000,
DTL00324,ORD00190,ITEM035,1,30000,30000,
DTL00325,ORD00190,ITEM019,1,47000,47000,
DTL00326,ORD00191,ITEM008,1,36000,36000,
DTL00327,ORD00191,ITEM075,1,29000,29000,
DTL00328,ORD00191,ITEM025,1,41000,41000,
DTL00329,ORD00192,ITEM054,1,65000,65000,
DTL00330,ORD00193,ITEM028,1,27000,27000,
DTL00331,ORD00193,ITEM069,1,60000,60000,ekstra creamer
DTL00332,ORD00194,ITEM034,1,30000,30000,
DTL00333,ORD00194,ITEM032,2,27000,54000,gula sedikit
DTL00334,ORD00194,ITEM041,1,26000,26000,gula sedikit
DTL00335,ORD00195,ITEM062,2,44000,88000,
DTL00336,ORD00195,ITEM056,1,51000,51000,
DTL00337,ORD00196,ITEM043,1,27000,27000,
DTL00338,ORD00196,ITEM045,1,36000,36000,
DTL00339,ORD00197,ITEM036,2,25000,50000,
DTL00340,ORD00198,ITEM061,1,59000,59000,
DTL00341,ORD00199,ITEM045,2,36000,72000,
DTL00342,ORD00200,ITEM050,1,27000,27000,
DTL00343,ORD00200,ITEM012,1,51000,51000,
DTL00344,ORD00200,ITEM034,1,30000,30000,
DTL00345,ORD00201,ITEM010,1,35000,35000,extra hot
DTL00346,ORD00201,ITEM069,1,60000,60000,
DTL00347,ORD00201,ITEM030,2,27000,54000,
DTL00348,ORD00202,ITEM029,1,37000,37000,tanpa gula
DTL00349,ORD00202,ITEM011,1,49000,49000,
DTL00350,ORD00202,ITEM072,1,18000,18000,
DTL00351,ORD00203,ITEM062,1,44000,44000,
DTL00352,ORD00203,ITEM059,1,73000,73000,
DTL00353,ORD00204,ITEM052,1,56000,56000,
DTL00354,ORD00205,ITEM077,1,23000,23000,extra shot
DTL00355,ORD00206,ITEM018,1,29000,29000,
DTL00356,ORD00207,ITEM007,1,24000,24000,
DTL00357,ORD00207,ITEM015,1,50000,50000,
DTL00358,ORD00208,ITEM013,1,40000,40000,
DTL00359,ORD00209,ITEM015,1,50000,50000,
DTL00360,ORD00210,ITEM032,1,27000,27000,
DTL00361,ORD00211,ITEM012,1,51000,51000,
DTL00362,ORD00212,ITEM006,1,50000,50000,
DTL00363,ORD00212,ITEM044,1,39000,39000,
DTL00364,ORD00213,ITEM012,1,51000,51000,
DTL00365,ORD00213,ITEM055,3,52000,156000,
DTL00366,ORD00213,ITEM051,1,49000,49000,extra hot
DTL00367,ORD00214,ITEM071,1,26000,26000,
DTL00368,ORD00214,ITEM064,1,38000,38000,ekstra creamer
DTL00369,ORD00214,ITEM029,3,37000,111000,
DTL00370,ORD00215,ITEM034,1,30000,30000,
DTL00371,ORD00215,ITEM051,1,49000,49000,
DTL00372,ORD00216,ITEM025,1,41000,41000,
DTL00373,ORD00217,ITEM056,1,51000,51000,
DTL00374,ORD00218,ITEM073,1,22000,22000,
DTL00375,ORD00219,ITEM075,1,29000,29000,
DTL00376,ORD00219,ITEM032,1,27000,27000,
DTL00377,ORD00220,ITEM066,1,45000,45000,
DTL00378,ORD00221,ITEM015,1,50000,50000,
DTL00379,ORD00222,ITEM030,1,27000,27000,
DTL00380,ORD00223,ITEM074,3,27000,81000,
DTL00381,ORD00223,ITEM019,1,47000,47000,
DTL00382,ORD00224,ITEM018,1,29000,29000,
DTL00383,ORD00225,ITEM051,3,49000,147000,
DTL00384,ORD00226,ITEM033,1,39000,39000,
DTL00385,ORD00226,ITEM031,1,21000,21000,extra shot
DTL00386,ORD00227,ITEM061,1,59000,59000,
DTL00387,ORD00227,ITEM078,2,18000,36000,
DTL00388,ORD00228,ITEM038,1,39000,39000,
DTL00389,ORD00228,ITEM022,1,52000,52000,
DTL00390,ORD00228,ITEM008,1,36000,36000,
DTL00391,ORD00228,ITEM044,1,39000,39000,
DTL00392,ORD00229,ITEM056,1,51000,51000,gula sedikit
DTL00393,ORD00230,ITEM055,1,52000,52000,
DTL00394,ORD00230,ITEM080,1,34000,34000,
DTL00395,ORD00231,ITEM062,1,44000,44000,
DTL00396,ORD00232,ITEM049,1,28000,28000,
DTL00397,ORD00233,ITEM029,1,37000,37000,
DTL00398,ORD00234,ITEM054,1,65000,65000,tanpa susu
DTL00399,ORD00235,ITEM037,1,27000,27000,
DTL00400,ORD00235,ITEM006,1,50000,50000,
DTL00401,ORD00235,ITEM049,1,28000,28000,
DTL00402,ORD00236,ITEM011,2,49000,98000,
DTL00403,ORD00237,ITEM015,1,50000,50000,
DTL00404,ORD00238,ITEM005,1,28000,28000,
DTL00405,ORD00238,ITEM012,1,51000,51000,
DTL00406,ORD00239,ITEM017,1,36000,36000,
DTL00407,ORD00240,ITEM045,1,36000,36000,extra hot
DTL00408,ORD00240,ITEM012,1,51000,51000,
DTL00409,ORD00241,ITEM055,3,52000,156000,
DTL00410,ORD00242,ITEM052,1,56000,56000,tambah whip cream
DTL00411,ORD00243,ITEM007,1,24000,24000,
DTL00412,ORD00243,ITEM068,1,39000,39000,
DTL00413,ORD00244,ITEM009,2,24000,48000,
DTL00414,ORD00245,ITEM047,3,20000,60000,
DTL00415,ORD00246,ITEM068,1,39000,39000,
DTL00416,ORD00246,ITEM066,1,45000,45000,
DTL00417,ORD00246,ITEM053,1,68000,68000,
DTL00418,ORD00247,ITEM074,1,27000,27000,
DTL00419,ORD00247,ITEM004,1,29000,29000,
DTL00420,ORD00247,ITEM059,2,73000,146000,
DTL00421,ORD00248,ITEM012,1,51000,51000,
DTL00422,ORD00249,ITEM022,2,52000,104000,
DTL00423,ORD00249,ITEM071,1,26000,26000,
DTL00424,ORD00250,ITEM006,1,50000,50000,
DTL00425,ORD00250,ITEM049,2,28000,56000,
DTL00426,ORD00250,ITEM015,1,50000,50000,
DTL00427,ORD00251,ITEM034,1,30000,30000,
DTL00428,ORD00252,ITEM075,1,29000,29000,
DTL00429,ORD00253,ITEM016,1,40000,40000,
DTL00430,ORD00253,ITEM071,1,26000,26000,
DTL00431,ORD00254,ITEM022,1,52000,52000,
DTL00432,ORD00255,ITEM033,2,39000,78000,
DTL00433,ORD00255,ITEM066,2,45000,90000,
DTL00434,ORD00255,ITEM069,1,60000,60000,
DTL00435,ORD00256,ITEM009,1,24000,24000,
DTL00436,ORD00256,ITEM035,1,30000,30000,
DTL00437,ORD00257,ITEM078,1,18000,18000,
DTL00438,ORD00257,ITEM074,2,27000,54000,
DTL00439,ORD00257,ITEM017,1,36000,36000,gula sedikit
DTL00440,ORD00258,ITEM071,1,26000,26000,
DTL00441,ORD00258,ITEM056,1,51000,51000,
DTL00442,ORD00258,ITEM052,1,56000,56000,
DTL00443,ORD00259,ITEM017,1,36000,36000,
DTL00444,ORD00259,ITEM076,1,28000,28000,
DTL00445,ORD00260,ITEM042,1,33000,33000,
DTL00446,ORD00260,ITEM058,1,52000,52000,
DTL00447,ORD00261,ITEM017,1,36000,36000,
DTL00448,ORD00261,ITEM035,1,30000,30000,
DTL00449,ORD00262,ITEM001,2,29000,58000,
DTL00450,ORD00263,ITEM059,1,73000,73000,less sugar
DTL00451,ORD00263,ITEM076,2,28000,56000,
DTL00452,ORD00264,ITEM075,1,29000,29000,
DTL00453,ORD00265,ITEM053,1,68000,68000,
DTL00454,ORD00265,ITEM058,1,52000,52000,
DTL00455,ORD00266,ITEM042,1,33000,33000,
DTL00456,ORD00266,ITEM034,1,30000,30000,
DTL00457,ORD00266,ITEM030,1,27000,27000,
DTL00458,ORD00267,ITEM071,3,26000,78000,
DTL00459,ORD00267,ITEM037,1,27000,27000,
DTL00460,ORD00267,ITEM051,1,49000,49000,
DTL00461,ORD00268,ITEM076,1,28000,28000,
DTL00462,ORD00268,ITEM078,1,18000,18000,
DTL00463,ORD00268,ITEM002,1,40000,40000,
DTL00464,ORD00269,ITEM031,1,21000,21000,
DTL00465,ORD00270,ITEM017,1,36000,36000,
DTL00466,ORD00270,ITEM011,1,49000,49000,
DTL00467,ORD00271,ITEM075,1,29000,29000,
DTL00468,ORD00272,ITEM028,1,27000,27000,
DTL00469,ORD00273,ITEM040,1,24000,24000,
DTL00470,ORD00274,ITEM055,1,52000,52000,
DTL00471,ORD00275,ITEM063,1,67000,67000,
DTL00472,ORD00275,ITEM056,1,51000,51000,
DTL00473,ORD00276,ITEM072,1,18000,18000,less sugar
DTL00474,ORD00276,ITEM045,1,36000,36000,
DTL00475,ORD00277,ITEM054,1,65000,65000,dingin
DTL00476,ORD00278,ITEM078,3,18000,54000,
DTL00477,ORD00278,ITEM028,1,27000,27000,
DTL00478,ORD00279,ITEM051,1,49000,49000,
DTL00479,ORD00279,ITEM061,2,59000,118000,
DTL00480,ORD00280,ITEM041,1,26000,26000,ekstra creamer
DTL00481,ORD00280,ITEM064,1,38000,38000,extra hot
DTL00482,ORD00281,ITEM011,1,49000,49000,
DTL00483,ORD00281,ITEM032,1,27000,27000,tambah whip cream
DTL00484,ORD00282,ITEM057,1,72000,72000,
DTL00485,ORD00282,ITEM046,1,29000,29000,
DTL00486,ORD00283,ITEM080,3,34000,102000,
DTL00487,ORD00283,ITEM041,1,26000,26000,
DTL00488,ORD00283,ITEM064,1,38000,38000,
DTL00489,ORD00283,ITEM019,1,47000,47000,
DTL00490,ORD00284,ITEM024,1,27000,27000,
DTL00491,ORD00285,ITEM063,1,67000,67000,
DTL00492,ORD00286,ITEM057,2,72000,144000,
DTL00493,ORD00287,ITEM009,1,24000,24000,
DTL00494,ORD00288,ITEM078,1,18000,18000,dingin
DTL00495,ORD00289,ITEM061,1,59000,59000,
DTL00496,ORD00290,ITEM058,1,52000,52000,
DTL00497,ORD00291,ITEM064,1,38000,38000,
DTL00498,ORD00291,ITEM037,1,27000,27000,
DTL00499,ORD00292,ITEM076,1,28000,28000,
DTL00500,ORD00292,ITEM017,1,36000,36000,gula sedikit
DTL00501,ORD00293,ITEM037,1,27000,27000,
DTL00502,ORD00294,ITEM008,1,36000,36000,
DTL00503,ORD00294,ITEM053,1,68000,68000,
DTL00504,ORD00295,ITEM056,1,51000,51000,
DTL00505,ORD00296,ITEM052,1,56000,56000,
DTL00506,ORD00297,ITEM074,1,27000,27000,
