order_id,outlet_id,order_date,order_time,total_amount,payment_method,order_type,staff_id
ORD00843,OUT003,2022-01-16,13:29:15,199000,Kartu Debit,takeaway,STF017
ORD00322,OUT005,2022-01-16,20:26:19,27000,QRIS,delivery,STF027
ORD00300,OUT004,2022-01-17,19:24:42,63000,QRIS,takeaway,STF024
ORD00988,OUT010,2022-01-18,16:09:16,116000,QRIS,dine_in,STF055
ORD00729,OUT010,2022-01-18,21:02:58,295000,QRIS,dine_in,STF058
ORD00672,OUT004,2022-01-19,08:26:44,95000,QRIS,delivery,STF020
ORD00945,OUT011,2022-01-19,09:05:01,198000,GoPay,dine_in,STF063
ORD00789,OUT005,2022-01-19,17:38:26,52000,GoPay,dine_in,STF026
ORD00659,OUT010,2022-01-20,08:43:29,199000,GoPay,delivery,STF055
ORD00933,OUT008,2022-01-20,12:05:48,52000,Kartu Debit,dine_in,STF044
ORD00804,OUT004,2022-01-20,17:57:45,166000,GoPay,delivery,STF020
ORD00791,OUT004,2022-01-20,22:10:40,278000,QRIS,takeaway,STF020
ORD00423,OUT007,2022-01-22,07:50:42,39000,QRIS,takeaway,STF037
ORD00167,OUT004,2022-01-22,08:10:59,51000,Tunai,takeaway,STF023
ORD00368,OUT011,2022-01-22,17:40:22,52000,QRIS,takeaway,STF063
ORD00084,OUT010,2022-01-22,18:05:22,99000,QRIS,delivery,STF057
ORD00463,OUT011,2022-01-23,22:55:53,135000,OVO,delivery,STF063
ORD00493,OUT004,2022-01-25,10:28:19,50000,Tunai,delivery,STF019
ORD00657,OUT002,2022-01-25,12:00:22,20000,Kartu Debit,dine_in,STF011
ORD00204,OUT012,2022-01-25,13:01:43,56000,GoPay,delivery,STF069
ORD00892,OUT009,2022-01-25,18:34:14,40000,Kartu Debit,takeaway,STF050
ORD00348,OUT011,2022-01-26,07:05:27,142000,QRIS,dine_in,STF065
ORD00673,OUT012,2022-01-26,12:32:52,136000,GoPay,delivery,STF071
ORD00309,OUT005,2022-01-26,19:28:48,39000,Tunai,takeaway,STF025
ORD00454,OUT001,2022-01-27,12:40:28,29000,Tunai,dine_in,STF001
ORD00980,OUT001,2022-01-27,14:30:02,94000,GoPay,dine_in,STF002
ORD00951,OUT006,2022-01-27,16:16:28,63000,QRIS,dine_in,STF031
ORD00049,OUT009,2022-01-27,18:35:59,207000,GoPay,delivery,STF053
ORD00278,OUT012,2022-01-28,12:55:43,81000,Tunai,dine_in,STF072
ORD00272,OUT005,2022-01-28,13:30:34,27000,GoPay,takeaway,STF027
ORD00333,OUT005,2022-01-29,08:09:54,51000,GoPay,delivery,STF027
ORD00153,OUT008,2022-01-30,13:07:29,27000,Tunai,takeaway,STF043
ORD00371,OUT003,2022-01-30,13:38:40,29000,GoPay,delivery,STF013
ORD00170,OUT009,2022-01-30,22:33:22,195000,Kartu Debit,takeaway,STF050
ORD00050,OUT012,2022-01-31,13:32:23,29000,OVO,dine_in,STF068
ORD00506,OUT006,2022-01-31,17:11:01,20000,Kartu Debit,dine_in,STF033
ORD00091,OUT008,2022-02-01,21:19:10,176000,QRIS,delivery,STF047
ORD00380,OUT007,2022-02-02,16:31:34,49000,QRIS,dine_in,STF037
ORD00566,OUT001,2022-02-03,09:12:03,27000,Tunai,dine_in,STF002
ORD00027,OUT005,2022-02-03,17:40:37,23000,Tunai,delivery,STF027
ORD00066,OUT003,2022-02-03,18:46:30,134000,QRIS,takeaway,STF017
ORD00999,OUT003,2022-02-04,07:27:22,85000,Tunai,takeaway,STF013
ORD00370,OUT001,2022-02-04,07:33:06,27000,Kartu Debit,takeaway,STF004
ORD00795,OUT006,2022-02-04,17:56:14,104000,OVO,delivery,STF031
ORD00297,OUT003,2022-02-05,13:18:52,27000,OVO,takeaway,STF015
ORD00605,OUT004,2022-02-06,15:40:44,152000,Tunai,dine_in,STF022
ORD00469,OUT002,2022-02-06,17:24:05,73000,QRIS,dine_in,STF008
ORD00531,OUT001,2022-02-07,17:07:09,245000,OVO,takeaway,STF002
ORD00955,OUT003,2022-02-08,07:47:51,63000,OVO,takeaway,STF013
ORD00109,OUT002,2022-02-08,08:48:00,27000,QRIS,dine_in,STF008
ORD00217,OUT003,2022-02-08,17:15:21,51000,OVO,dine_in,STF018
ORD00555,OUT006,2022-02-09,07:43:17,56000,GoPay,takeaway,STF033
ORD00796,OUT007,2022-02-09,07:46:13,57000,OVO,dine_in,STF039
ORD00433,OUT004,2022-02-09,22:50:29,24000,OVO,dine_in,STF023
ORD00068,OUT005,2022-02-10,18:35:17,78000,GoPay,delivery,STF027
ORD00535,OUT004,2022-02-11,09:10:32,28000,QRIS,delivery,STF024
ORD00790,OUT009,2022-02-11,20:44:04,36000,QRIS,dine_in,STF050
ORD00113,OUT006,2022-02-12,13:41:50,208000,OVO,takeaway,STF031
ORD00259,OUT004,2022-02-12,17:26:16,64000,GoPay,dine_in,STF019
ORD00152,OUT009,2022-02-12,17:58:13,24000,GoPay,takeaway,STF051
ORD00310,OUT011,2022-02-12,18:03:35,67000,QRIS,dine_in,STF061
ORD00827,OUT012,2022-02-12,18:16:27,63000,OVO,delivery,STF070
ORD00578,OUT010,2022-02-13,12:04:21,40000,GoPay,takeaway,STF056
ORD00749,OUT010,2022-02-13,19:39:24,50000,QRIS,dine_in,STF058
ORD00612,OUT002,2022-02-13,22:51:55,95000,GoPay,takeaway,STF012
ORD00717,OUT003,2022-02-14,11:46:12,28000,QRIS,takeaway,STF013
ORD00457,OUT008,2022-02-15,13:16:44,78000,GoPay,dine_in,STF046
ORD00808,OUT004,2022-02-16,07:11:20,118000,Tunai,delivery,STF019
ORD00812,OUT009,2022-02-16,08:16:13,125000,QRIS,dine_in,STF050
ORD00854,OUT005,2022-02-16,09:57:57,30000,GoPay,takeaway,STF027
ORD00699,OUT004,2022-02-17,12:45:05,62000,QRIS,takeaway,STF020
ORD00349,OUT005,2022-02-17,21:06:29,30000,OVO,delivery,STF029
ORD00110,OUT012,2022-02-17,22:42:31,151000,GoPay,dine_in,STF072
ORD00095,OUT012,2022-02-19,07:59:57,37000,GoPay,takeaway,STF068
ORD00424,OUT001,2022-02-19,13:37:57,104000,OVO,dine_in,STF004
ORD00777,OUT010,2022-02-19,19:48:18,44000,QRIS,takeaway,STF057
ORD00592,OUT007,2022-02-19,19:50:37,41000,GoPay,delivery,STF039
ORD00855,OUT008,2022-02-20,19:03:20,38000,Tunai,dine_in,STF044
ORD00426,OUT001,2022-02-20,22:23:44,137000,Tunai,dine_in,STF005
ORD00180,OUT002,2022-02-21,08:26:44,27000,Tunai,delivery,STF012
ORD00866,OUT002,2022-02-21,12:17:34,94000,QRIS,takeaway,STF009
ORD00390,OUT002,2022-02-23,12:10:50,25000,GoPay,takeaway,STF012
ORD00733,OUT008,2022-02-23,12:46:57,115000,QRIS,delivery,STF046
ORD00747,OUT009,2022-02-23,13:45:39,94000,QRIS,dine_in,STF050
ORD00655,OUT004,2022-02-23,17:49:54,34000,OVO,dine_in,STF020
ORD00188,OUT004,2022-02-24,07:50:18,18000,QRIS,dine_in,STF023
ORD00303,OUT007,2022-02-24,18:43:29,218000,Kartu Debit,delivery,STF040
ORD00177,OUT009,2022-02-25,08:24:28,129000,Kartu Debit,takeaway,STF050
ORD00522,OUT008,2022-02-25,12:53:03,123000,OVO,takeaway,STF044
ORD00336,OUT002,2022-02-25,18:33:05,91000,QRIS,delivery,STF012
ORD00575,OUT003,2022-02-25,18:52:09,214000,OVO,delivery,STF014
ORD00751,OUT002,2022-02-25,18:59:43,28000,OVO,takeaway,STF011
ORD00024,OUT006,2022-02-26,07:08:00,27000,QRIS,dine_in,STF035
ORD00619,OUT007,2022-02-26,07:08:25,170000,QRIS,delivery,STF039
ORD00705,OUT008,2022-02-26,07:57:02,40000,Tunai,dine_in,STF044
ORD00642,OUT012,2022-02-26,10:23:59,44000,GoPay,dine_in,STF072
ORD00771,OUT010,2022-02-26,10:28:56,141000,QRIS,takeaway,STF057
ORD00648,OUT005,2022-02-26,12:23:54,59000,Kartu Debit,dine_in,STF027
ORD00372,OUT006,2022-02-26,15:18:29,33000,Tunai,dine_in,STF036
ORD00293,OUT007,2022-02-27,13:20:00,27000,GoPay,dine_in,STF041
ORD00214,OUT006,2022-02-27,18:03:54,175000,GoPay,dine_in,STF034
ORD00312,OUT003,2022-02-27,20:23:22,87000,GoPay,dine_in,STF015
ORD00947,OUT008,2022-02-28,11:58:28,51000,GoPay,delivery,STF043
ORD00031,OUT006,2022-02-28,14:51:27,55000,Tunai,delivery,STF035
ORD00339,OUT001,2022-02-28,17:25:46,108000,Tunai,takeaway,STF001
ORD00674,OUT011,2022-02-28,21:27:23,67000,GoPay,takeaway,STF065
ORD00421,OUT003,2022-03-01,07:30:22,76000,OVO,delivery,STF015
ORD00129,OUT003,2022-03-01,11:22:19,56000,OVO,takeaway,STF014
ORD00574,OUT001,2022-03-01,19:25:45,118000,Tunai,dine_in,STF006
ORD00331,OUT006,2022-03-02,13:00:39,22000,Kartu Debit,dine_in,STF031
ORD00932,OUT004,2022-03-03,08:05:35,28000,QRIS,dine_in,STF020
ORD00600,OUT011,2022-03-04,17:13:41,28000,GoPay,dine_in,STF065
ORD00691,OUT011,2022-03-04,18:00:45,58000,OVO,dine_in,STF064
ORD00515,OUT001,2022-03-05,08:28:00,95000,OVO,delivery,STF001
ORD00693,OUT004,2022-03-05,17:20:37,37000,QRIS,dine_in,STF024
ORD00242,OUT003,2022-03-05,17:38:25,56000,QRIS,takeaway,STF013
ORD00207,OUT003,2022-03-05,18:50:02,74000,QRIS,delivery,STF015
ORD00289,OUT009,2022-03-06,07:14:05,59000,GoPay,dine_in,STF051
ORD00186,OUT007,2022-03-06,07:43:27,68000,OVO,delivery,STF038
ORD00175,OUT010,2022-03-07,07:44:36,40000,QRIS,delivery,STF059
ORD00045,OUT011,2022-03-07,09:41:42,29000,QRIS,takeaway,STF063
ORD00919,OUT012,2022-03-07,17:00:00,104000,OVO,dine_in,STF070
ORD00884,OUT009,2022-03-07,17:23:39,21000,Kartu Debit,delivery,STF050
ORD00609,OUT010,2022-03-07,18:32:45,26000,GoPay,delivery,STF056
ORD00523,OUT003,2022-03-07,19:28:03,36000,OVO,takeaway,STF017
ORD00952,OUT002,2022-03-08,07:47:36,60000,GoPay,dine_in,STF011
ORD00627,OUT004,2022-03-08,10:02:37,115000,Tunai,dine_in,STF020
ORD00638,OUT002,2022-03-09,07:17:09,140000,Tunai,takeaway,STF007
ORD00809,OUT007,2022-03-09,13:45:18,176000,GoPay,dine_in,STF038
ORD00752,OUT008,2022-03-09,15:51:43,88000,OVO,dine_in,STF044
ORD00146,OUT002,2022-03-09,17:43:28,73000,GoPay,dine_in,STF009
ORD00764,OUT003,2022-03-09,17:58:24,25000,QRIS,dine_in,STF014
ORD00022,OUT012,2022-03-09,18:34:57,81000,Tunai,dine_in,STF068
ORD00633,OUT005,2022-03-10,17:18:20,63000,GoPay,delivery,STF025
ORD00698,OUT006,2022-03-12,07:08:20,154000,GoPay,delivery,STF035
ORD00646,OUT011,2022-03-12,14:24:26,18000,Tunai,takeaway,STF065
ORD00035,OUT007,2022-03-12,16:20:07,29000,GoPay,takeaway,STF042
ORD00649,OUT002,2022-03-12,18:45:09,96000,QRIS,delivery,STF007
ORD00226,OUT005,2022-03-12,18:56:47,60000,QRIS,dine_in,STF027
ORD00321,OUT007,2022-03-12,18:57:33,61000,GoPay,takeaway,STF038
ORD00774,OUT008,2022-03-12,19:14:43,37000,OVO,dine_in,STF046
ORD00090,OUT006,2022-03-13,08:00:16,63000,QRIS,dine_in,STF034
ORD00602,OUT008,2022-03-13,18:20:33,40000,QRIS,takeaway,STF047
ORD00260,OUT012,2022-03-13,18:37:16,85000,OVO,takeaway,STF071
ORD00740,OUT002,2022-03-13,19:46:21,70000,Kartu Debit,delivery,STF007
ORD00161,OUT002,2022-03-14,09:02:58,219000,OVO,takeaway,STF011
ORD00661,OUT001,2022-03-15,16:35:55,70000,GoPay,takeaway,STF001
ORD00768,OUT006,2022-03-15,18:56:46,20000,OVO,takeaway,STF035
ORD00358,OUT001,2022-03-15,22:42:27,244000,GoPay,dine_in,STF002
ORD00051,OUT011,2022-03-16,12:58:53,105000,QRIS,delivery,STF062
ORD00365,OUT003,2022-03-16,19:09:53,63000,QRIS,delivery,STF017
ORD00593,OUT005,2022-03-16,19:47:12,50000,Kartu Debit,delivery,STF025
ORD00825,OUT012,2022-03-16,20:34:48,98000,QRIS,delivery,STF068
ORD00686,OUT012,2022-03-17,07:20:08,26000,OVO,dine_in,STF069
ORD00993,OUT010,2022-03-17,22:43:34,78000,QRIS,dine_in,STF058
ORD00893,OUT008,2022-03-19,17:27:54,329000,OVO,dine_in,STF043
ORD00785,OUT010,2022-03-19,17:50:25,73000,GoPay,takeaway,STF057
ORD00766,OUT003,2022-03-19,18:43:41,29000,QRIS,dine_in,STF015
ORD00376,OUT009,2022-03-19,19:36:00,146000,QRIS,delivery,STF051
ORD00487,OUT008,2022-03-19,20:50:14,219000,GoPay,takeaway,STF046
ORD00486,OUT002,2022-03-20,17:52:08,116000,GoPay,dine_in,STF011
ORD00818,OUT008,2022-03-20,18:00:30,52000,GoPay,dine_in,STF043
ORD00294,OUT010,2022-03-21,07:15:10,104000,QRIS,dine_in,STF060
ORD00033,OUT011,2022-03-22,18:20:49,92000,Tunai,takeaway,STF061
ORD00253,OUT006,2022-03-22,18:52:07,66000,Tunai,dine_in,STF034
ORD00782,OUT007,2022-03-22,19:55:45,139000,OVO,dine_in,STF038
ORD00685,OUT001,2022-03-23,12:59:07,28000,GoPay,takeaway,STF001
ORD00407,OUT005,2022-03-24,07:20:36,27000,GoPay,takeaway,STF027
ORD00334,OUT006,2022-03-24,12:29:47,36000,Tunai,dine_in,STF031
ORD00067,OUT012,2022-03-24,12:49:08,82000,QRIS,takeaway,STF068
ORD00243,OUT005,2022-03-24,17:53:16,63000,GoPay,dine_in,STF026
ORD00001,OUT004,2022-03-24,18:31:18,51000,Tunai,takeaway,STF024
ORD00715,OUT011,2022-03-25,12:04:51,54000,OVO,dine_in,STF064
ORD00154,OUT001,2022-03-25,12:33:33,26000,Kartu Debit,dine_in,STF002
ORD00816,OUT001,2022-03-25,12:56:38,103000,Kartu Debit,takeaway,STF002
ORD00670,OUT010,2022-03-26,13:30:30,342000,QRIS,delivery,STF056
ORD00093,OUT003,2022-03-26,17:28:07,29000,Kartu Debit,dine_in,STF018
ORD00996,OUT011,2022-03-26,17:31:07,52000,OVO,delivery,STF063
ORD00710,OUT009,2022-03-27,10:06:19,168000,Kartu Debit,dine_in,STF051
ORD00558,OUT006,2022-03-27,17:06:52,61000,OVO,dine_in,STF035
ORD00440,OUT011,2022-03-27,18:27:12,135000,QRIS,delivery,STF061
ORD00430,OUT004,2022-03-28,08:21:12,44000,Tunai,takeaway,STF019
ORD00584,OUT008,2022-03-28,10:30:42,51000,QRIS,dine_in,STF044
ORD00108,OUT008,2022-03-28,18:10:08,102000,Kartu Debit,takeaway,STF046
ORD00846,OUT004,2022-03-28,18:21:09,27000,OVO,takeaway,STF020
ORD00422,OUT011,2022-03-30,07:47:52,111000,GoPay,dine_in,STF062
ORD00559,OUT011,2022-03-30,18:20:00,33000,QRIS,dine_in,STF064
ORD00532,OUT009,2022-03-31,17:15:11,117000,OVO,dine_in,STF050
ORD00343,OUT005,2022-03-31,19:02:49,52000,OVO,dine_in,STF029
ORD00614,OUT004,2022-03-31,19:08:32,35000,QRIS,dine_in,STF023
ORD00389,OUT008,2022-04-01,07:03:41,27000,QRIS,dine_in,STF044
ORD00276,OUT001,2022-04-01,08:57:54,54000,Tunai,takeaway,STF006
ORD00171,OUT006,2022-04-01,12:51:47,136000,Kartu Debit,dine_in,STF035
ORD00173,OUT011,2022-04-01,17:03:01,199000,GoPay,takeaway,STF062
ORD00859,OUT003,2022-04-02,13:43:19,55000,GoPay,takeaway,STF015
ORD00862,OUT012,2022-04-02,18:22:53,52000,Kartu Debit,dine_in,STF071
ORD00047,OUT006,2022-04-03,12:46:28,63000,GoPay,takeaway,STF033
ORD00337,OUT008,2022-04-03,14:45:18,36000,GoPay,dine_in,STF043
ORD00032,OUT001,2022-04-03,19:04:09,23000,Kartu Debit,delivery,STF001
ORD00666,OUT003,2022-04-03,19:49:27,147000,OVO,takeaway,STF015
ORD00931,OUT003,2022-04-04,08:47:16,27000,Kartu Debit,delivery,STF017
ORD00281,OUT006,2022-04-05,11:46:15,76000,Tunai,dine_in,STF036
ORD00708,OUT006,2022-04-06,13:09:00,81000,Kartu Debit,takeaway,STF034
ORD00545,OUT001,2022-04-06,13:18:13,36000,OVO,dine_in,STF006
ORD00168,OUT007,2022-04-06,13:56:09,61000,GoPay,takeaway,STF041
ORD00098,OUT012,2022-04-07,18:48:07,62000,GoPay,delivery,STF071
ORD00191,OUT003,2022-04-07,19:26:47,106000,QRIS,delivery,STF018
ORD00603,OUT002,2022-04-07,19:53:13,68000,GoPay,takeaway,STF012
ORD00518,OUT005,2022-04-09,07:44:43,184000,QRIS,takeaway,STF027
ORD00192,OUT006,2022-04-09,13:53:03,65000,OVO,dine_in,STF034
ORD00679,OUT007,2022-04-09,19:53:03,317000,Tunai,takeaway,STF038
ORD00826,OUT009,2022-04-12,17:46:55,50000,QRIS,takeaway,STF050
ORD00763,OUT011,2022-04-12,21:00:10,100000,GoPay,takeaway,STF063
ORD00014,OUT010,2022-04-12,22:06:15,154000,QRIS,takeaway,STF057
ORD00577,OUT006,2022-04-13,08:51:48,100000,GoPay,dine_in,STF034
ORD00316,OUT010,2022-04-13,15:03:29,26000,Tunai,dine_in,STF055
ORD00984,OUT007,2022-04-13,16:53:44,104000,Kartu Debit,dine_in,STF041
ORD00735,OUT008,2022-04-14,20:52:33,40000,GoPay,dine_in,STF047
ORD00106,OUT006,2022-04-15,13:02:36,59000,OVO,delivery,STF032
ORD00347,OUT002,2022-04-16,17:20:17,70000,GoPay,delivery,STF009
ORD00270,OUT009,2022-04-16,19:15:53,85000,Tunai,dine_in,STF050
ORD00341,OUT001,2022-04-17,12:51:58,29000,QRIS,dine_in,STF002
ORD00292,OUT011,2022-04-17,18:19:59,64000,OVO,dine_in,STF061
ORD00413,OUT005,2022-04-17,19:33:21,73000,GoPay,takeaway,STF029
ORD00957,OUT008,2022-04-18,07:24:20,21000,Tunai,takeaway,STF044
ORD00877,OUT006,2022-04-18,13:47:38,81000,QRIS,delivery,STF033
ORD00429,OUT012,2022-04-19,18:31:43,49000,GoPay,takeaway,STF071
ORD00381,OUT004,2022-04-19,21:43:55,35000,QRIS,dine_in,STF024
ORD00927,OUT002,2022-04-20,08:57:14,49000,Kartu Debit,dine_in,STF007
ORD00151,OUT009,2022-04-21,07:50:25,103000,QRIS,dine_in,STF053
ORD00856,OUT010,2022-04-21,12:36:00,65000,Tunai,takeaway,STF055
ORD00277,OUT002,2022-04-21,22:53:40,65000,GoPay,takeaway,STF009
ORD00332,OUT004,2022-04-22,13:29:26,93000,QRIS,dine_in,STF024
ORD00560,OUT003,2022-04-22,19:38:31,222000,GoPay,delivery,STF018
ORD00137,OUT001,2022-04-23,12:14:34,51000,OVO,dine_in,STF005
ORD00415,OUT008,2022-04-25,07:09:16,27000,OVO,delivery,STF048
ORD00097,OUT003,2022-04-25,07:19:29,102000,Kartu Debit,delivery,STF018
ORD00938,OUT004,2022-04-25,08:36:34,306000,GoPay,dine_in,STF023
ORD00972,OUT004,2022-04-25,17:22:52,78000,Tunai,takeaway,STF024
ORD00885,OUT005,2022-04-26,10:45:25,39000,OVO,takeaway,STF025
ORD00046,OUT004,2022-04-26,11:04:18,51000,GoPay,takeaway,STF024
ORD00833,OUT008,2022-04-26,12:14:04,122000,Tunai,dine_in,STF048
ORD00400,OUT007,2022-04-26,12:32:43,56000,QRIS,dine_in,STF037
ORD00677,OUT013,2022-04-26,14:32:18,59000,OVO,delivery,STF076
ORD00851,OUT013,2022-04-28,09:21:14,36000,OVO,dine_in,STF075
ORD00767,OUT004,2022-04-29,12:03:36,44000,QRIS,takeaway,STF024
ORD00013,OUT005,2022-04-29,12:29:16,110000,Kartu Debit,dine_in,STF029
ORD00755,OUT002,2022-04-30,07:11:43,30000,QRIS,takeaway,STF012
ORD00494,OUT010,2022-04-30,12:42:50,51000,Kartu Debit,takeaway,STF060
ORD00567,OUT007,2022-05-01,13:46:29,44000,OVO,dine_in,STF042
ORD00968,OUT005,2022-05-01,13:51:13,119000,QRIS,takeaway,STF025
ORD00726,OUT006,2022-05-01,15:52:39,171000,Kartu Debit,takeaway,STF036
ORD00229,OUT007,2022-05-02,19:51:44,51000,OVO,delivery,STF042
ORD00492,OUT009,2022-05-04,16:46:27,52000,QRIS,dine_in,STF053
ORD00831,OUT009,2022-05-05,08:23:36,37000,QRIS,dine_in,STF051
ORD00012,OUT005,2022-05-06,17:43:50,51000,GoPay,dine_in,STF026
ORD00099,OUT002,2022-05-06,19:28:14,39000,QRIS,dine_in,STF007
ORD00909,OUT008,2022-05-06,21:41:51,74000,OVO,dine_in,STF043
ORD00725,OUT004,2022-05-07,13:01:53,36000,QRIS,takeaway,STF023
ORD00246,OUT011,2022-05-07,20:17:53,152000,QRIS,dine_in,STF063
ORD00880,OUT005,2022-05-08,07:08:33,99000,GoPay,dine_in,STF029
ORD00473,OUT010,2022-05-08,12:36:03,29000,Tunai,dine_in,STF055
ORD00455,OUT006,2022-05-08,19:53:41,65000,Kartu Debit,dine_in,STF035
ORD00291,OUT007,2022-05-09,07:07:49,65000,Kartu Debit,dine_in,STF040
ORD00793,OUT010,2022-05-09,08:59:21,60000,Kartu Debit,delivery,STF056
ORD00738,OUT010,2022-05-09,12:04:55,50000,GoPay,dine_in,STF055
ORD00863,OUT013,2022-05-09,18:41:51,21000,GoPay,takeaway,STF076
ORD00540,OUT011,2022-05-09,19:49:43,182000,OVO,dine_in,STF065
ORD00156,OUT006,2022-05-11,10:14:47,117000,QRIS,dine_in,STF031
ORD00883,OUT012,2022-05-12,07:07:30,29000,QRIS,takeaway,STF072
ORD00373,OUT011,2022-05-12,07:17:49,36000,GoPay,dine_in,STF064
ORD00732,OUT013,2022-05-12,19:46:10,60000,OVO,dine_in,STF073
ORD00756,OUT009,2022-05-12,19:54:54,25000,QRIS,takeaway,STF053
ORD00212,OUT004,2022-05-12,21:18:16,89000,QRIS,dine_in,STF019
ORD00239,OUT008,2022-05-13,13:40:25,36000,QRIS,dine_in,STF043
ORD00447,OUT001,2022-05-13,15:42:35,145000,GoPay,delivery,STF001
ORD00162,OUT013,2022-05-14,07:27:42,40000,GoPay,dine_in,STF076
ORD00847,OUT004,2022-05-14,18:28:21,75000,QRIS,delivery,STF022
ORD00308,OUT013,2022-05-15,17:22:56,121000,QRIS,takeaway,STF073
ORD00669,OUT013,2022-05-15,18:28:55,122000,QRIS,takeaway,STF075
ORD00117,OUT013,2022-05-16,16:51:15,51000,Kartu Debit,dine_in,STF073
ORD00906,OUT007,2022-05-16,22:22:21,105000,QRIS,dine_in,STF038
ORD00954,OUT005,2022-05-17,13:58:42,146000,GoPay,delivery,STF027
ORD00781,OUT013,2022-05-18,17:58:22,24000,Kartu Debit,delivery,STF078
ORD00481,OUT003,2022-05-18,20:56:30,168000,GoPay,takeaway,STF018
ORD00966,OUT003,2022-05-19,07:31:25,27000,GoPay,dine_in,STF018
ORD00419,OUT010,2022-05-19,18:06:34,28000,Tunai,dine_in,STF056
ORD00637,OUT013,2022-05-20,11:46:48,37000,GoPay,takeaway,STF073
ORD00058,OUT011,2022-05-20,12:27:56,244000,QRIS,delivery,STF064
ORD00607,OUT011,2022-05-20,19:14:17,167000,GoPay,dine_in,STF064
ORD00803,OUT009,2022-05-21,07:55:45,27000,QRIS,takeaway,STF053
ORD00858,OUT011,2022-05-21,16:40:28,40000,GoPay,delivery,STF062
ORD00688,OUT013,2022-05-21,19:37:19,45000,GoPay,dine_in,STF077
ORD00713,OUT004,2022-05-21,21:56:33,144000,GoPay,dine_in,STF022
ORD00453,OUT002,2022-05-21,22:30:47,105000,QRIS,dine_in,STF011
ORD00590,OUT004,2022-05-21,22:40:53,225000,OVO,takeaway,STF022
ORD00189,OUT006,2022-05-22,17:38:43,27000,Kartu Debit,takeaway,STF031
ORD00197,OUT011,2022-05-22,18:57:41,50000,OVO,dine_in,STF062
ORD00187,OUT006,2022-05-22,19:00:50,59000,Kartu Debit,takeaway,STF035
ORD00517,OUT004,2022-05-23,13:10:35,51000,GoPay,delivery,STF024
ORD00667,OUT002,2022-05-23,17:09:30,84000,GoPay,delivery,STF008
ORD00150,OUT013,2022-05-23,18:38:04,160000,QRIS,dine_in,STF076
ORD00520,OUT002,2022-05-23,21:20:00,87000,QRIS,dine_in,STF009
ORD00351,OUT006,2022-05-25,11:32:06,35000,QRIS,delivery,STF031
ORD00456,OUT011,2022-05-25,13:23:11,74000,QRIS,dine_in,STF065
ORD00105,OUT011,2022-05-25,17:41:22,22000,OVO,dine_in,STF063
ORD00610,OUT012,2022-05-25,20:45:29,81000,GoPay,takeaway,STF070
ORD00194,OUT003,2022-05-26,07:10:54,110000,Tunai,delivery,STF014
ORD00208,OUT013,2022-05-26,13:44:09,40000,OVO,delivery,STF073
ORD00346,OUT007,2022-05-27,12:49:28,33000,Kartu Debit,dine_in,STF039
